drug,author,herb_part,bot_name,disease_category,taste,potency,ultimate_taste,inherent_action
panchalavan kuligai ,Agathiyar,Dried rhizome ,Zingiber officinale,Tuberculosis ,Pungent,Hot,Spicy ,"Agatuvaiyagatri,Pasitheethuntri,Umilneerperuki,Seripundaki,Vepamundaki,Thadipundaki"
panchalavan kuligai ,Agathiyar,,Piper nigrum,Tuberculosis ,"Bitter, Pungent ",Hot,Spicy ,"karalundaki,agatuvaiagatri,muraiveppagatri,thadipuundaki,veppamundaki,veekankaraichi,vathamadaiki,nachheri"
panchalavan kuligai ,Agathiyar,,Piper longum,Tuberculosis ,sweet,Cold ,Sweet,null
panchalavan kuligai ,Agathiyar,,Allium sativum,Tuberculosis ,Pungent,Hot,Spicy ,"agatuvaiagatri,pasithithundi,uramaki,udarthetri,veppamundaki,kolaiyagatri,siruneerperuki,pulukoli"
panchalavan kuligai ,Agathiyar,,Euphorbia ligularia,Tuberculosis ,null,null,null,"Thadipundaki,Kollaiyagatri,Neermalampoki"
Thalaga parpam ,Agathiyar,,Thalagam,Tuberculosis ,null,null,null,null
Thalaga parpam ,Agathiyar,Rhizome ,Zingiber officinale,Tuberculosis ,Pungent,Hot,Spicy ,"Agatuvaiyagatri,Pasitheethuntri,Umilneerperuki,Seripundaki,Vepamundaki,Thadipundaki"
Thalaga parpam ,Agathiyar,Fruit juice,Citrus limon,Tuberculosis ,Sour,Hot,Spicy ,Kulirchiyundaki
Thalaga parpam ,Agathiyar,,Hygrophila auriculata,Tuberculosis ,"sweet, mildBitter ",Cold ,Sweet,null
Thalaga parpam ,Agathiyar,Pattai,Thespesia populnea ,Tuberculosis ,"Bitter, Astringent",Hot,Spicy ,"pulukolli,thuyimaiaaki"
